job_index,cell_index,cell,replicate,data_seed,fold_seed
320,2,weak_overlap,106,202609222106,202609322106
321,0,uniform,107,202609220107,202609320107
322,1,base,107,202609221107,202609321107
323,2,weak_overlap,107,202609222107,202609322107
324,0,uniform,108,202609220108,202609320108
325,1,base,108,202609221108,202609321108
326,2,weak_overlap,108,202609222108,202609322108
327,0,uniform,109,202609220109,202609320109
328,1,base,109,202609221109,202609321109
329,2,weak_overlap,109,202609222109,202609322109
330,0,uniform,110,202609220110,202609320110
331,1,base,110,202609221110,202609321110
332,2,weak_overlap,110,202609222110,202609322110
333,0,uniform,111,202609220111,202609320111
334,1,base,111,202609221111,202609321111
335,2,weak_overlap,111,202609222111,202609322111
336,0,uniform,112,202609220112,202609320112
337,1,base,112,202609221112,202609321112
338,2,weak_overlap,112,202609222112,202609322112
339,0,uniform,113,202609220113,202609320113
340,1,base,113,202609221113,202609321113
341,2,weak_overlap,113,202609222113,202609322113
342,0,uniform,114,202609220114,202609320114
343,1,base,114,202609221114,202609321114
344,2,weak_overlap,114,202609222114,202609322114
345,0,uniform,115,202609220115,202609320115
346,1,base,115,202609221115,202609321115
347,2,weak_overlap,115,202609222115,202609322115
348,0,uniform,116,202609220116,202609320116
349,1,base,116,202609221116,202609321116
350,2,weak_overlap,116,202609222116,202609322116
351,0,uniform,117,202609220117,202609320117
352,1,base,117,202609221117,202609321117
353,2,weak_overlap,117,202609222117,202609322117
354,0,uniform,118,202609220118,202609320118
355,1,base,118,202609221118,202609321118
356,2,weak_overlap,118,202609222118,202609322118
357,0,uniform,119,202609220119,202609320119
358,1,base,119,202609221119,202609321119
359,2,weak_overlap,119,202609222119,202609322119
360,0,uniform,120,202609220120,202609320120
361,1,base,120,202609221120,202609321120
362,2,weak_overlap,120,202609222120,202609322120
363,0,uniform,121,202609220121,202609320121
364,1,base,121,202609221121,202609321121
365,2,weak_overlap,121,202609222121,202609322121
366,0,uniform,122,202609220122,202609320122
367,1,base,122,202609221122,202609321122
368,2,weak_overlap,122,202609222122,202609322122
369,0,uniform,123,202609220123,202609320123
370,1,base,123,202609221123,202609321123
371,2,weak_overlap,123,202609222123,202609322123
372,0,uniform,124,202609220124,202609320124
373,1,base,124,202609221124,202609321124
374,2,weak_overlap,124,202609222124,202609322124
375,0,uniform,125,202609220125,202609320125
376,1,base,125,202609221125,202609321125
377,2,weak_overlap,125,202609222125,202609322125
378,0,uniform,126,202609220126,202609320126
379,1,base,126,202609221126,202609321126
380,2,weak_overlap,126,202609222126,202609322126
381,0,uniform,127,202609220127,202609320127
382,1,base,127,202609221127,202609321127
383,2,weak_overlap,127,202609222127,202609322127
384,0,uniform,128,202609220128,202609320128
385,1,base,128,202609221128,202609321128
386,2,weak_overlap,128,202609222128,202609322128
387,0,uniform,129,202609220129,202609320129
388,1,base,129,202609221129,202609321129
389,2,weak_overlap,129,202609222129,202609322129
390,0,uniform,130,202609220130,202609320130
391,1,base,130,202609221130,202609321130
392,2,weak_overlap,130,202609222130,202609322130
393,0,uniform,131,202609220131,202609320131
394,1,base,131,202609221131,202609321131
395,2,weak_overlap,131,202609222131,202609322131
396,0,uniform,132,202609220132,202609320132
397,1,base,132,202609221132,202609321132
398,2,weak_overlap,132,202609222132,202609322132
399,0,uniform,133,202609220133,202609320133
400,1,base,133,202609221133,202609321133
401,2,weak_overlap,133,202609222133,202609322133
402,0,uniform,134,202609220134,202609320134
403,1,base,134,202609221134,202609321134
404,2,weak_overlap,134,202609222134,202609322134
405,0,uniform,135,202609220135,202609320135
406,1,base,135,202609221135,202609321135
407,2,weak_overlap,135,202609222135,202609322135
408,0,uniform,136,202609220136,202609320136
409,1,base,136,202609221136,202609321136
410,2,weak_overlap,136,202609222136,202609322136
411,0,uniform,137,202609220137,202609320137
412,1,base,137,202609221137,202609321137
413,2,weak_overlap,137,202609222137,202609322137
414,0,uniform,138,202609220138,202609320138
415,1,base,138,202609221138,202609321138
416,2,weak_overlap,138,202609222138,202609322138
417,0,uniform,139,202609220139,202609320139
418,1,base,139,202609221139,202609321139
419,2,weak_overlap,139,202609222139,202609322139
420,0,uniform,140,202609220140,202609320140
421,1,base,140,202609221140,202609321140
422,2,weak_overlap,140,202609222140,202609322140
423,0,uniform,141,202609220141,202609320141
424,1,base,141,202609221141,202609321141
425,2,weak_overlap,141,202609222141,202609322141
426,0,uniform,142,202609220142,202609320142
427,1,base,142,202609221142,202609321142
428,2,weak_overlap,142,202609222142,202609322142
429,0,uniform,143,202609220143,202609320143
430,1,base,143,202609221143,202609321143
431,2,weak_overlap,143,202609222143,202609322143
432,0,uniform,144,202609220144,202609320144
433,1,base,144,202609221144,202609321144
434,2,weak_overlap,144,202609222144,202609322144
435,0,uniform,145,202609220145,202609320145
436,1,base,145,202609221145,202609321145
437,2,weak_overlap,145,202609222145,202609322145
438,0,uniform,146,202609220146,202609320146
439,1,base,146,202609221146,202609321146
440,2,weak_overlap,146,202609222146,202609322146
441,0,uniform,147,202609220147,202609320147
442,1,base,147,202609221147,202609321147
443,2,weak_overlap,147,202609222147,202609322147
444,0,uniform,148,202609220148,202609320148
445,1,base,148,202609221148,202609321148
446,2,weak_overlap,148,202609222148,202609322148
447,0,uniform,149,202609220149,202609320149
448,1,base,149,202609221149,202609321149
449,2,weak_overlap,149,202609222149,202609322149
450,0,uniform,150,202609220150,202609320150
451,1,base,150,202609221150,202609321150
452,2,weak_overlap,150,202609222150,202609322150
453,0,uniform,151,202609220151,202609320151
454,1,base,151,202609221151,202609321151
455,2,weak_overlap,151,202609222151,202609322151
456,0,uniform,152,202609220152,202609320152
457,1,base,152,202609221152,202609321152
458,2,weak_overlap,152,202609222152,202609322152
459,0,uniform,153,202609220153,202609320153
460,1,base,153,202609221153,202609321153
461,2,weak_overlap,153,202609222153,202609322153
462,0,uniform,154,202609220154,202609320154
463,1,base,154,202609221154,202609321154
464,2,weak_overlap,154,202609222154,202609322154
465,0,uniform,155,202609220155,202609320155
466,1,base,155,202609221155,202609321155
467,2,weak_overlap,155,202609222155,202609322155
468,0,uniform,156,202609220156,202609320156
469,1,base,156,202609221156,202609321156
470,2,weak_overlap,156,202609222156,202609322156
471,0,uniform,157,202609220157,202609320157
472,1,base,157,202609221157,202609321157
473,2,weak_overlap,157,202609222157,202609322157
474,0,uniform,158,202609220158,202609320158
475,1,base,158,202609221158,202609321158
476,2,weak_overlap,158,202609222158,202609322158
477,0,uniform,159,202609220159,202609320159
478,1,base,159,202609221159,202609321159
479,2,weak_overlap,159,202609222159,202609322159
480,0,uniform,160,202609220160,202609320160
481,1,base,160,202609221160,202609321160
482,2,weak_overlap,160,202609222160,202609322160
483,0,uniform,161,202609220161,202609320161
484,1,base,161,202609221161,202609321161
485,2,weak_overlap,161,202609222161,202609322161
486,0,uniform,162,202609220162,202609320162
487,1,base,162,202609221162,202609321162
488,2,weak_overlap,162,202609222162,202609322162
489,0,uniform,163,202609220163,202609320163
490,1,base,163,202609221163,202609321163
491,2,weak_overlap,163,202609222163,202609322163
492,0,uniform,164,202609220164,202609320164
493,1,base,164,202609221164,202609321164
494,2,weak_overlap,164,202609222164,202609322164
495,0,uniform,165,202609220165,202609320165
496,1,base,165,202609221165,202609321165
497,2,weak_overlap,165,202609222165,202609322165
498,0,uniform,166,202609220166,202609320166
499,1,base,166,202609221166,202609321166
500,2,weak_overlap,166,202609222166,202609322166
501,0,uniform,167,202609220167,202609320167
502,1,base,167,202609221167,202609321167
503,2,weak_overlap,167,202609222167,202609322167
504,0,uniform,168,202609220168,202609320168
505,1,base,168,202609221168,202609321168
506,2,weak_overlap,168,202609222168,202609322168
507,0,uniform,169,202609220169,202609320169
508,1,base,169,202609221169,202609321169
509,2,weak_overlap,169,202609222169,202609322169
510,0,uniform,170,202609220170,202609320170
511,1,base,170,202609221170,202609321170
512,2,weak_overlap,170,202609222170,202609322170
513,0,uniform,171,202609220171,202609320171
514,1,base,171,202609221171,202609321171
515,2,weak_overlap,171,202609222171,202609322171
516,0,uniform,172,202609220172,202609320172
517,1,base,172,202609221172,202609321172
518,2,weak_overlap,172,202609222172,202609322172
519,0,uniform,173,202609220173,202609320173
520,1,base,173,202609221173,202609321173
521,2,weak_overlap,173,202609222173,202609322173
522,0,uniform,174,202609220174,202609320174
523,1,base,174,202609221174,202609321174
524,2,weak_overlap,174,202609222174,202609322174
525,0,uniform,175,202609220175,202609320175
526,1,base,175,202609221175,202609321175
527,2,weak_overlap,175,202609222175,202609322175
528,0,uniform,176,202609220176,202609320176
529,1,base,176,202609221176,202609321176
530,2,weak_overlap,176,202609222176,202609322176
531,0,uniform,177,202609220177,202609320177
532,1,base,177,202609221177,202609321177
533,2,weak_overlap,177,202609222177,202609322177
534,0,uniform,178,202609220178,202609320178
535,1,base,178,202609221178,202609321178
536,2,weak_overlap,178,202609222178,202609322178
537,0,uniform,179,202609220179,202609320179
538,1,base,179,202609221179,202609321179
539,2,weak_overlap,179,202609222179,202609322179
540,0,uniform,180,202609220180,202609320180
541,1,base,180,202609221180,202609321180
542,2,weak_overlap,180,202609222180,202609322180
543,0,uniform,181,202609220181,202609320181
544,1,base,181,202609221181,202609321181
545,2,weak_overlap,181,202609222181,202609322181
546,0,uniform,182,202609220182,202609320182
547,1,base,182,202609221182,202609321182
548,2,weak_overlap,182,202609222182,202609322182
549,0,uniform,183,202609220183,202609320183
550,1,base,183,202609221183,202609321183
551,2,weak_overlap,183,202609222183,202609322183
552,0,uniform,184,202609220184,202609320184
553,1,base,184,202609221184,202609321184
554,2,weak_overlap,184,202609222184,202609322184
555,0,uniform,185,202609220185,202609320185
556,1,base,185,202609221185,202609321185
557,2,weak_overlap,185,202609222185,202609322185
558,0,uniform,186,202609220186,202609320186
559,1,base,186,202609221186,202609321186
560,2,weak_overlap,186,202609222186,202609322186
561,0,uniform,187,202609220187,202609320187
562,1,base,187,202609221187,202609321187
563,2,weak_overlap,187,202609222187,202609322187
564,0,uniform,188,202609220188,202609320188
565,1,base,188,202609221188,202609321188
566,2,weak_overlap,188,202609222188,202609322188
567,0,uniform,189,202609220189,202609320189
568,1,base,189,202609221189,202609321189
